address,balance_wei,balance_human
0x695EA5522171A9B97374B792B4f874e4F56b6c4a,555500000000000000000000,555500.0
0xa20763dd4cAaD17652551729eE015733A37EeE75,547723000000000000000000,547723.0
0xD3732399AF436be8701E5DFaBbE30B8Ec8800DFb,530000000000000000000000,530000.0
0x4D350271521D77cd47806fA5e8C28d3b7d8a40BC,527000000000000000000000,527000.0
0x846FEB5a479564da54A731921B0b76A84f3eBCcc,520888002772872000000000,520888.00277287205
0x3e407f4158440F1e5a9E6BA98b0198AEA6d837E3,503525069347109600000000,503525.06934710965
0x15ACDcDA26AF5b918475cC3C7F5eC015F0FF4AC9,500000000000000000000000,500000.0
0xD560366ceE64129825A0a7AaB4CfCb6Dd8A8e7ef,496069330972380000000000,496069.33097238
0xBEC16F48D247d489E658dfED3FcB9B08a5062b2c,494647750000000000000000,494647.75
0x69105Da73d6e2BDc4a5Dc192D41761Bd47210d95,483790600804000000000000,483790.60080400005
0xEC1465EE9ABa2890Cc73928816095f1fB40fc699,475726750000000000000000,475726.75000000006
0x0D739e901Eeb849664c28904f1048c5CB2EEFC91,458551473600000000000000,458551.4736
0x21b5d8d0903D8f39405D9470daa738320bd83A50,444467270256359505278657,444467.27025635954
0xFC40CaD21eE5233Cc2fB08C3B31Eb3077812B373,443780000000000000000000,443780.0
0x0E680004057A9aE5fC0A05759C2E2Cc3E3391111,440000000000000000000000,440000.0
0x9Aa088052594353dc8B35dB409F8a54607F9A63A,436792000000000000000000,436791.99999999994
0xB537867a7b194cC681F48dD64B18986Afd90C65E,433362988689723500000000,433362.98868972354
0xB5D2C456D728f84CFCD3769cA9108b186EB530E1,420274637353886874000000,420274.6373538869
0xAe01bED09C6359b1D04Ca120d629e6740fB647d0,400071351120280000000000,400071.35112028
0x754b1D03616Dc93A4C9da2efbA34aC818cEc1310,399995436106550000000000,399995.43610655004
0xAa979E53401885107690285A6Eb442a3DDfc70A3,374169236107261740000000,374169.23610726174
0x5afC1D802a05f1b6f048D6D0DD324D664d6fEfA7,373750000000000000000000,373750.00000000006
